"4. 1. 5. INFORMATIONS RELATIVES AUX POSTES DU BILAN
ET DU COMPTE DE RÉSULTAT";;;;;;;
État des dettes à moins d'un an (art. 435-11);;;;;;;
Dettes;;Montant brut;Échéance à moins d'un an;Échéances à plus d'un an et moins de cinq ans;Échéances à plus de cinq ans;;
Emprunts et dettes auprès des établissements de crédit;;27 115 746;12 613 970;8 946 625;5 555 151;;
Emprunts et dettes auprès de personnes physiques à taux préférentiel;;0;;;0;;
Autres emprunts et dettes auprès de personnes physiques;;0;;;0;;
Emprunts et dettes auprès de partis ou groupements politiques;;0;;;0;;
Dettes fournisseurs et comptes rattachés;;1 443 800;1 443 800;;0;;
Dettes fiscales et sociales;;1 051 872;1 051 872;;0;;
Dettes envers les candidats;;0;;;0;;
Dettes envers les organisations territoriales ou spécialisées;;0;;;0;;
Autres dettes;;27 959;27 959;;0;;
Produits constatés d'avance;;0;;;0;;
TOTAL;;29639376,5;15137600,53;8 946 625;5555151,36;29 639 377;24 084 225
Contrôles;;29639376,5;;;;;
Ecarts;;0;;;;;
