"4. 1. 5. INFORMATIONS RELATIVES AUX POSTES DU BILAN
ET DU COMPTE DE RÉSULTAT";;;;;;;
État des créances (art. 435-7);;;;;;;
Créances;;Montant brut;Échéances à moins d'un an;Échéances à plus d'un an;;;
Créances rattachées à des participations;;0;0;0;;;
Prêts hors périmètre;;10 827 373;10 827 373;0;;;
Autres créances de l'actif immobilisé;;52 848;0;52 848;;;
Créances clients et comptes rattachés;;87 358;87 358;0;;;
Créances auprès de partis ou groupements politiques;;0;0;0;;;
Autres créances de l'actif circulant;;578 733;263 141;315 592;;;
Charges constatées d'avance;;156 460;156 460;0;;;
TOTAL;;11 702 771;11 334 332;368 439;;;
Le poste des autres créances se composent de la manière suivante : ;;;;;;;
Avances et acomptes;;315 592,00;;;;;
Comité d'entreprise;;395,46;;;;;
Personnel;;48 131,10;;;;;
Impots et taxes;;11 304,05;;;;;
Produits à recevoir;;155 697,00;;;;;
Autres comptes debiteurs crediteurs;;13 414,21;;;;;
Avoirs non encore reçus;;34 199,51;;;;;
Total;;578 733,33;;;;;
