"4. 1. 5. INFORMATIONS RELATIVES AUX POSTES DU BILAN
ET DU COMPTE DE RÉSULTAT";;;;;;;;
"État des prestations de services facturées aux candidats (art. 435-16)
(Ventilées par catégorie d’élection, type de candidat (tenu ou non de déposer un compte de campagne))";;;;;;;;
Prestations de services aux candidats;;;;Montant des prestations;;;;
Élections municipales;;;;;;;;
;Prestation de services aux candidats tenus de déposer un compte de campagne;;;;;;;
;Prestation de services aux candidats non tenus de déposer un compte de campagne;;;;;;;
Élections départementales;;;;;;;;
;Prestation de services aux candidats tenus de déposer un compte de campagne;;;;;;;
;Prestation de services aux candidats non tenus de déposer un compte de campagne;;;;;;;
Élections régionales;;;;;;;;
;Prestation de services aux candidats tenus de déposer un compte de campagne;;;;;;;
;Prestation de services aux candidats non tenus de déposer un compte de campagne;;;;;;;
Élections territoriales;;;;;;;;
;Prestation de services aux candidats tenus de déposer un compte de campagne;;;;;;;
;Prestation de services aux candidats non tenus de déposer un compte de campagne;;;;;;;
Élections législatives;;;;;;;;
;Prestation de services aux candidats tenus de déposer un compte de campagne;;;        55 259   ;;;;
;Prestation de services aux candidats non tenus de déposer un compte de campagne;;;;;;;
Élections sénatoriales;;;;;;;;
;Prestation de services aux candidats tenus de déposer un compte de campagne;;;;;;;
;Prestation de services aux candidats non tenus de déposer un compte de campagne;;;;;;;
Élections européennes;;;;;;;;
;Prestation de services aux candidats tenus de déposer un compte de campagne;;;;;;;
;Prestation de services aux candidats non tenus de déposer un compte de campagne;;;;;;;
Élection présidentielle;;;;;;;;
;Prestation de services aux candidats tenus de déposer un compte de campagne;;;   2 839 991   ;;;;
TOTAL;;;;2 895 250 ;;;;
Contrôles;;;;2 895 249 ;;;;
Ecarts;;;;0 ;;;;
