"4. 1. 5. INFORMATIONS RELATIVES AUX POSTES DU BILAN
ET DU COMPTE DE RÉSULTAT";;;;;;;
Liste des prêts octroyés à des personnes morales ou physiques non incluses dans les comptes d'ensemble (pour les prêts octroyés à des personnes morales, les montants sont ventilés par emprunteur et le nom de l'emprunteur est exigé) (art. 435-5);;;;;;;
Prêts à des personnes (hors périmètre);Capital initial;Capital remboursé;Capital restant dû;Intérêts courus non échus;Nom de l'emprunteur;;
Prêt à des partis ou groupements politiques 1;;;;;;;
Prêt à des partis ou groupements politiques 2;;;;;;;
Prêt à des partis ou groupements politiques N;;;;;;;
Prêts aux candidats 1;       30 000   ;       1 200   ;       15 800   ;             -     ;Mme Saïd Soilihi;;
Prêts aux candidats 2;       25 000   ;;       23 363   ;             -     ;Mme Kadouci  ;;
Prêts aux candidats 3;         8 000   ;       8 000   ;              -     ;             -     ;M. Saada;;
Prêts aux candidats 4;       20 000   ;;       20 000   ;             -     ;M. Izard;;
Prêts aux candidats 5;         4 000   ;;               0   ;             -     ;M. Boucenna;;
Prêts aux candidats 6;         2 000   ;;         2 000   ;             -     ;Mme Carriere;;
Prêts aux candidats 7;         3 500   ;;         3 500   ;             -     ;M. Corbieres;;
Prêts aux candidats 8;         2 000   ;       2 000   ;              -     ;             -     ;M. Guilpain;;
Prêts aux candidats 9;         7 500   ;       7 500   ;              -     ;             -     ;M. Guttierres;;
Prêts aux candidats 10;         2 000   ;       2 000   ;              -     ;             -     ;M. Lepetit;;
Prêts aux candidats 11;         6 000   ;       3 000   ;              -     ;             -     ;Mme Mackako;;
Prêts aux candidats 12;         3 000   ;;              -     ;             -     ;M. Mahamoud;;
Prêts aux candidats 13;         1 000   ;       2 000   ;              -     ;             -     ;M. Soler;;
Prêts aux candidats 14;   1 150 000   ; 1 122 198   ;       27 802   ;             -     ;M. Bonnell ;;
Prêts aux candidats 15;      510 000   ;    484 508   ;       16 002   ;             -     ;M. Goullet de Rugy;;
Prêts aux candidats 16;      900 000   ;    673 142   ;       26 858   ;             -     ;M. Pietraszewski ;;
Prêts aux candidats 17;   1 800 000   ; 1 744 249   ;       49 203   ;             -     ;M. Saint Martin ;;
Prêts aux candidats 18;      565 000   ;    531 554   ;               3   ;             -     ;M. Bonnaterre ;;
Prêts aux candidats 19;      565 000   ;;       30 000   ;             -     ;M. Bonnaterre ;;
Prêts aux candidats 20;      395 000   ;    362 151   ;       27 606   ;             -     ;M.Thuriot ;;
Prêts aux candidats 21;      510 000   ;    360 020   ;       21 600   ;             -     ;M. Burlot ;;
Prêts aux candidats 22;      800 000   ;    240 765   ;       45 603   ;             -     ;Mme Klinkert ;;
Prêts aux candidats 23;      895 000   ;    841 312   ;       32 001   ;             -     ;M. Terrail-Noves ;;
Prêts aux candidats 24;       12 000   ;      12 000   ;              -     ;             -     ;Mme Cazebonne;;
Prêts aux candidats 25; 10 700 000   ;    100 000   ; 10 301 866   ;             -     ;M. Macron;;
Prêts aux candidats 26;       30 000   ;      30 000   ;              -     ;             -     ;M. Blanquer;;
Prêts aux candidats 27;       10 000   ;      10 000   ;              -     ;             -     ;M Belhamiti;;
Prêts aux candidats 28;         4 600   ;;         4 500   ;             -     ;Mme Thevenot;;
Prêts aux candidats 29;       15 000   ;;       15 000   ;             -     ;Mme Anne Bois;;
Prêts aux candidats 30;         5 000   ;;         5 000   ;             -     ;Mme Madau;;
Prêts aux candidats 31;       25 000   ;      20 500   ;         4 500   ;             -     ;Mme. Benié;;
Prêts aux candidats 32;         5 000   ;;         5 000   ;             -     ;M. Terrenes;;
Prêts aux candidats 33;       28 000   ;      27 998   ;              -     ;             -     ;M. Gassama;;
Prêts aux candidats 34;         5 000   ;;         5 000   ;             -     ;Mme. Peculier;;
Prêts aux candidats 35;         5 000   ;;         5 000   ;             -     ;M. Bachim Valy;;
Prêts aux candidats 36;         6 000   ;       1 035   ;         4 965   ;             -     ;M. Vuilletet;;
Prêts aux candidats 37;       13 000   ;;       13 000   ;             -     ;M. Bacha;;
Prêts aux candidats 38;       15 000   ;;       15 000   ;             -     ;M. Wasil Bechena;;
Prêts aux candidats 39;       25 000   ;;       25 000   ;             -     ;M. Ludovic Mendes;;
Prêts aux candidats 40;         2 000   ;;         2 000   ;             -     ;Mme Estelle Drion;;
Prêts aux candidats 41;       19 000   ;       5 000   ;       14 000   ;             -     ;Mme Sylla Sira;;
Prêts aux candidats 42;       32 000   ;;       32 000   ;             -     ;M. Lenaick;;
Prêts aux candidats 43;         7 000   ;;         7 000   ;             -     ;Mme. Seban;;
Prêts aux candidats 44;         2 200   ;;         2 200   ;             -     ;M. Kokouendo;;
Prêts aux candidats 45;       15 000   ;;       15 000   ;             -     ;Mme Moreno;;
Prêts aux candidats 46;       10 000   ;;       10 000   ;             -     ;Mme Lakrafi;;
Prêts aux candidats 47;;;;;;;
Prêts aux organisations territoriales ou spécialisées du parti 1;;;;;;;
Prêts aux organisations territoriales ou spécialisées du parti 2;;;;;;;
Prêts aux organisations territoriales ou spécialisées du parti N;;;;;;;
Prêts à d'autres organismes 1;;;;;;;
Prêts à d'autres organismes 2;;;;;;;
Prêts à d'autres organismes N;;;;;;;
Autres prêts 1;;;;;;;
Autres prêts 2;;;;;;;
Autres prêts N;;;;;;;
TOTAL; 19 194 800   ; 6 592 131   ; 10 827 373   ;             -     ;;;
Contrôles;;; 10 827 373   ;;;;
Ecarts;;;              -     ;;;;
