4. 1. 4. PÉRIMÈTRE COMPTABLE;;;;;
;;;;;
CRITÈRES RETENUS POUR DÉFINIR LE PÉRIMÈTRE DES COMPTES D'ENSEMBLE;;;;;
"Pour répondre à ses obligations relatives au périmètre d’ensemble de ses comptes, Renaissance a mis en place un processus de veille sur les publications de déclarations d’associations au Journal Officiel afin d’identifier celles qui seraient susceptibles d’entrer dans le périmètre de ses comptes d’ensemble. Cette veille est effectuée notamment sur la base des mots clés suivants :  Renaissance, Renaissance européenne, Renaissance avec un objet social relatif à l'activité politique… Les associations identifiées sont référencées et font l’objet d’une prise d’information et d’une analyse pour identifier les liens éventuels avec Renaissance. Les quelques associations dont l’action locale ou thématique prolonge celle du mouvement sont intégrées dans le périmètre des comptes d'ensemble.



";;;;;
"Par ailleurs, les organisations territoriales du mouvement dans les départements à la tête desquelles sont nommés un référent par le Bureau Exécutif sont indiquées dans le périmètre. 
Le parti comprend 135 référents locaux, personnes physiques. Ces personnes ne tiennent pas de comptabilité indépendante. Elles disposent de moyens de paiement limités, dont les usages sont transcrits directement dans la comptabilité générale du parti. 
Elles ne constituent pas des entités différentes du parti et leurs mouvements financiers figurent techniquement par nature dans les comptes de celui-ci sans travail comptable spécifique. La liste de ces 135 référents locaux est donnée dans le tableau ci-dessous, avec en ce qui concerne l’information relative au mode d’intégration, la mention «  non applicable ».";;;;;
"Il existe par ailleurs 1879 comités politiques territoriaux recensés dans notre base de données. Suite à la réforme des statuts votée par les adhérents La République Renaissance en décembre 2019, le rôle des comités locaux en tant qu’organisations locales du Mouvement a été conforté. La création des comités locaux est validée par les comités politiques territoriaux, puis ils sont répertoriés par le pôle Territoire au niveau national. Ces comités sont animés par des personnes physiques qui n’ont pas à l’égard du parti de pouvoir d’engagement et ne disposent d’aucun moyen de paiement. Ne disposant pas de comptes bancaires, ces comités politiques ne peuvent faire l’objet d’une intégration comptable dans les comptes d’ensemble du parti. Il en est de même concernant le périmètre comptable défini par le règlement ANC 2018-03.
Cependant, leur liste est donnée à titre indicatif dans le tableau « périmètre » de l’annexe ci-dessous avec en ce qui concerne l’information relative au mode d’intégration, la mention «  non applicable ».";;;;;
TABLEAU DES ENTITÉS INTÉGRÉES DANS LES COMPTES D'ENSEMBLE (art. 434-1);;;;;
Entités intégrées;Adresse;Mode d'intégration;Date de clôture;Pourcentage de capital détenu;
;;;;;
A - Mandataire(s) (association de financement ou mandataire financier personne physique);;;;;
AFIR (AFEMA);68 rue du Rocher, 75008 Paris;Intégration Globale;31/12/2022;n.a;
B - Entités concernées;;;;;
;;;;;
Renaissance;68 rue du Rocher, 75008 Paris;Intégration Globale;31/12/2022;n.a;
