"4. 1. 5. INFORMATIONS RELATIVES AUX POSTES DU BILAN
ET DU COMPTE DE RÉSULTAT";;;;;;;
États des emprunts souscrits (Pour les emprunts souscrits auprès d’établissements de crédit et de partis ou groupements politiques, les montants sont ventilés par prêteur et le nom du prêteur est exigé) (art. 435-12) ;;;;;;;
Emprunts;Capital initial;Capital remboursé au cours de l'exercice;Capital restant dû;Intérêts courus non échus;Nom du prêteur;;
Emprunt auprès d'établissement de crédit 1;    2 029 721   ;     263 947   ;   2 029 721   ;             -     ;CRCA;;
Emprunt auprès d'établissement de crédit 2;    2 289 444   ;     265 606   ;   2 023 838   ;             -     ;Crédit coopératif;;
Emprunt auprès d'établissement de crédit 3;    2 289 851   ;     265 165   ;   2 024 686   ;             -     ;Crédit mutuel;;
Emprunt auprès d'établissement de crédit 4;    1 567 772   ;     203 875   ;   1 567 772   ;             -     ;CRCA;;
Emprunt auprès d'établissement de crédit 5;    1 770 244   ;     204 758   ;   1 564 872   ;             -     ;Crédit coopératif;;
Emprunt auprès d'établissement de crédit 6;    1 771 238   ;     205 198   ;   1 566 040   ;             -     ;Crédit mutuel;;
Emprunt auprès d'établissement de crédit 7;    2 001 756   ;     195 578   ;   2 001 756   ;             -     ;CRCA;;
Emprunt auprès d'établissement de crédit 8;    2 197 333   ;     197 169   ;   2 000 164   ;             -     ;Crédit coopératif;;
Emprunt auprès d'établissement de crédit 9;    2 197 333   ;     260 437   ;   1 936 896   ;             -     ;Crédit mutuel;;
Emprunt auprès d'établissement de crédit 10;  10 400 000   ;              -     ; 10 400 000   ; - ;Crédit coopératif;;
Emprunt auprès d'établissement de crédit 11;    7 450 000   ;  7 450 000   ;              -     ;             -     ;Crédit coopératif;;
Emprunts auprès de personnes physiques à taux préférentiel 2;               -     ;              -     ;              -     ;             -     ;             -     ;;
Emprunts auprès de personnes physiques à taux préférentiel N;               -     ;              -     ;              -     ;             -     ;             -     ;;
Autres emprunts auprès de personnes physiques 1;               -     ;              -     ;              -     ;             -     ;             -     ;;
Autres emprunts auprès de personnes physiques 2;               -     ;              -     ;              -     ;             -     ;             -     ;;
Autres emprunts auprès de personnes physiques N;               -     ;              -     ;              -     ;             -     ;             -     ;;
Emprunts et dettes auprès de partis ou groupements politiques 1;               -     ;              -     ;              -     ;             -     ;             -     ;;
Emprunts et dettes auprès de partis ou groupements politiques 2;               -     ;              -     ;              -     ;             -     ;             -     ;;
Emprunts et dettes auprès de partis ou groupements politiques N;               -     ;              -     ;              -     ;             -     ;             -     ;;
TOTAL;  35 964 692   ;  9 511 733   ; 27 115 746   ;             -     ;;;
Contrôles;;; 27 115 746   ;;;;
Ecarts;;;0 ;;;;
